Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
Docklands,1,u,PI,JellisCraig,Southern Metro,2449,17.81,Yarra,1,3,2,498.57,329.62,771142.4677
Clayton,2,t,VB,BigginScott,Western Metro,6953,27.47,Boroondara,1,1,2,386.62,130.32,556050.8681
Carlton,4,h,PI,JellisCraig,Western Metro,9456,6.14,Yarra,1,1,3,750.91,390.6,1064744.082
Docklands,4,u,PI,BarryPlant,Northern Metro,9042,1.2,Monash,3,3,3,821.45,71.43,1044357.887
Richmond,3,u,S,RayWhite,Western Metro,3659,24.36,Boroondara,1,3,0,812.54,481.61,1176743.457
Richmond,3,t,VB,JellisCraig,Southern Metro,8509,3.23,Melbourne,4,1,0,979.91,82.34,950008.8523
Burwood,4,u,PI,BigginScott,Western Metro,8893,13,Monash,1,3,0,808,310.75,1081066.626
Burwood,3,h,VB,JellisCraig,Northern Metro,8445,20.69,Melbourne,5,1,1,792.94,455.99,1268358.848
Clayton,1,u,S,RayWhite,Western Metro,3721,7.87,Boroondara,2,3,3,871.74,55.36,766698.7864
Docklands,3,h,PI,JellisCraig,Southern Metro,3925,3.43,Yarra,5,1,2,100.17,274.33,942196.802
Docklands,5,u,S,JellisCraig,Northern Metro,8104,23.33,Monash,3,1,3,426.19,207.5,1079339.135
Burwood,3,t,VB,RayWhite,Southern Metro,7240,19.28,Monash,1,1,2,763.84,311.15,918558.8366
Docklands,2,h,VB,BarryPlant,Northern Metro,1512,29.67,Melbourne,1,2,1,639.75,151.46,673419.595
Docklands,1,u,S,BarryPlant,Western Metro,1215,10.98,Boroondara,4,3,3,259.81,79.2,581447.165
Richmond,2,u,SP,RayWhite,Northern Metro,8299,2.79,Melbourne,1,1,2,373.36,331.67,855763.5746
Burwood,2,u,PI,JellisCraig,Northern Metro,4153,22.3,Boroondara,5,2,2,403.11,237.58,946561.2049
Carlton,5,h,VB,RayWhite,Western Metro,8450,16.13,Monash,3,1,0,611.05,330.12,1161025.403
Burwood,1,h,VB,BarryPlant,Southern Metro,2706,7.18,Boroondara,2,2,1,848.44,144.74,747058.4437
Carlton,1,h,PI,BigginScott,Western Metro,2567,23.67,Monash,1,1,3,939.24,202.43,736678.7441
Richmond,1,t,S,JellisCraig,Northern Metro,2128,6.91,Boroondara,2,1,0,775.08,302.76,792801.629
Clayton,1,t,S,BarryPlant,Western Metro,4510,8.56,Yarra,1,2,1,858.66,316.9,816514.8775
Docklands,1,h,S,JellisCraig,Northern Metro,8867,3.68,Boroondara,3,2,0,523.09,217.54,709362.0675
Richmond,5,u,SP,RayWhite,Western Metro,3365,12.58,Yarra,5,3,3,450.8,176.02,1153749.71
Docklands,3,t,SP,BigginScott,Western Metro,6583,13.15,Boroondara,3,3,2,453.44,173.17,997064.1982
Clayton,2,h,VB,RayWhite,Southern Metro,5897,15.92,Boroondara,2,2,3,654.43,128.61,793013.0505
Clayton,1,u,S,BigginScott,Northern Metro,6718,21.56,Melbourne,1,3,1,211.81,196.43,688781.629
Richmond,3,t,PI,JellisCraig,Southern Metro,7001,27.28,Melbourne,2,2,3,621.54,139.75,961031.1623
Clayton,3,u,VB,JellisCraig,Northern Metro,5567,4.99,Monash,5,3,1,698.62,335.22,1164598.188
Carlton,2,u,PI,RayWhite,Western Metro,3741,2.58,Melbourne,3,1,0,495.02,306.08,873847.4186
Clayton,5,u,VB,BigginScott,Northern Metro,4020,1.54,Boroondara,2,3,1,957.85,222.16,1141616.816
Docklands,4,u,SP,BigginScott,Southern Metro,7256,5.17,Melbourne,2,1,2,647.39,196.62,919707.8744
Docklands,4,t,VB,JellisCraig,Southern Metro,1228,20.08,Boroondara,5,1,2,298,156.93,932066.4735
Docklands,3,t,SP,RayWhite,Southern Metro,9362,22.1,Yarra,1,3,2,531.29,290.96,895988.6925
Docklands,2,t,VB,BigginScott,Northern Metro,1294,23.81,Boroondara,2,2,0,707.86,463.51,1018992.083
Carlton,4,h,S,JellisCraig,Southern Metro,5284,8.07,Monash,5,1,1,391.27,358.57,1143968.574
Burwood,3,t,PI,BarryPlant,Southern Metro,9617,9.87,Yarra,1,1,0,171.68,384.99,795309.035
Richmond,5,u,S,RayWhite,Southern Metro,7801,15.01,Monash,1,3,3,625.09,425.47,1252078.422
Docklands,4,t,VB,BarryPlant,Western Metro,1918,2.83,Monash,3,2,3,953.08,208.24,1109262.445
Clayton,3,u,VB,RayWhite,Western Metro,1498,18.72,Monash,5,2,3,536.56,78.29,834685.9856
Docklands,3,h,VB,JellisCraig,Northern Metro,3809,29.53,Melbourne,1,3,3,915.5,330.15,1074653.823
Clayton,1,u,SP,BigginScott,Northern Metro,5961,11.46,Monash,3,2,2,851.52,134.9,761784.9794
Clayton,5,u,PI,BigginScott,Southern Metro,4779,22.83,Yarra,4,3,1,232.67,306.07,1225243.656
Docklands,1,u,PI,BigginScott,Western Metro,3118,15.5,Boroondara,5,3,2,737.35,382.78,1209696.654
Carlton,2,h,VB,RayWhite,Southern Metro,7391,4.71,Monash,4,3,1,491.92,402.64,1201887.835
Clayton,1,t,VB,JellisCraig,Southern Metro,1145,17.88,Yarra,1,1,1,325.22,185.83,514609.2093
Clayton,1,t,SP,BarryPlant,Western Metro,8942,9.7,Monash,5,1,0,718.24,280.59,895476.1534
Docklands,4,h,S,JellisCraig,Western Metro,5565,2,Boroondara,3,1,3,768.39,329.43,1174704.317
Clayton,3,u,S,BarryPlant,Western Metro,1192,19.41,Yarra,1,3,1,261.91,418.77,1011620.801
Clayton,5,t,PI,RayWhite,Northern Metro,6187,25.91,Yarra,5,1,3,923,392.62,1358694.32
Docklands,1,h,SP,RayWhite,Northern Metro,7637,11,Boroondara,5,1,3,776.03,494.59,1271842.669
Docklands,5,t,VB,BarryPlant,Southern Metro,9243,12.32,Yarra,4,1,3,940.04,53.64,959105.0509
Richmond,1,h,PI,BarryPlant,Northern Metro,3410,26.84,Boroondara,1,3,2,385.37,246.87,769919.1198
Carlton,2,u,SP,BarryPlant,Western Metro,2820,24.59,Yarra,3,3,3,945.4,165.22,1001659.349
Carlton,1,t,S,JellisCraig,Western Metro,3964,21.73,Yarra,3,3,1,431.67,103.95,608976.1404
Clayton,4,h,SP,BarryPlant,Northern Metro,3521,8.22,Boroondara,1,1,2,148.57,460.18,1001319.722
Carlton,3,t,S,RayWhite,Southern Metro,3568,27.4,Boroondara,1,2,3,786.67,499.08,1199174.07
Clayton,2,t,SP,RayWhite,Southern Metro,6882,5.48,Yarra,2,1,0,733.16,131.27,637091.1002
Richmond,1,t,PI,BigginScott,Northern Metro,2867,19.18,Yarra,4,1,3,638.12,67.3,589662.1168
Docklands,5,t,S,BarryPlant,Southern Metro,8465,1.84,Boroondara,1,3,3,540.9,173.77,952764.6435
Docklands,2,h,PI,JellisCraig,Southern Metro,8602,19.67,Melbourne,1,3,2,128.95,425.69,863829.435
Docklands,2,u,PI,JellisCraig,Southern Metro,4199,9.04,Boroondara,2,1,1,662.14,182.25,701542.5941
Carlton,1,h,S,JellisCraig,Western Metro,7103,14.04,Yarra,2,1,3,475.15,75.61,457627.8734
Richmond,2,h,S,BigginScott,Western Metro,1240,11.01,Yarra,5,2,2,604.19,73.62,826801.0074
Carlton,5,h,VB,RayWhite,Northern Metro,4440,6.01,Yarra,3,2,2,486.39,242.34,1044850.19
Carlton,2,u,VB,JellisCraig,Western Metro,5631,19.04,Boroondara,4,3,1,969.45,469.32,1338166.036
Richmond,5,t,VB,RayWhite,Southern Metro,9274,26.58,Yarra,5,2,2,643.7,178.66,1243338.966
Richmond,1,t,PI,BigginScott,Western Metro,6077,28.81,Melbourne,1,2,1,774.31,242.22,758981.7158
Richmond,3,t,PI,BarryPlant,Northern Metro,4768,6.58,Monash,2,3,0,942.71,95.87,893991.2605
Richmond,2,u,VB,BarryPlant,Western Metro,8995,21.8,Melbourne,3,2,3,632.44,272.11,925097.1481
Docklands,3,t,PI,BarryPlant,Southern Metro,9802,20.27,Boroondara,5,1,2,110.86,363.45,1059012.931
Burwood,5,u,PI,JellisCraig,Southern Metro,7429,10.96,Yarra,3,2,0,130.86,172.02,871602.2141
Burwood,2,t,S,BarryPlant,Northern Metro,4605,1.55,Boroondara,2,3,2,732.1,183.52,1007661.189
Richmond,4,t,S,JellisCraig,Western Metro,3173,21,Monash,5,1,2,351.18,428.89,1145092.208
Burwood,3,h,PI,BigginScott,Western Metro,7568,28.42,Boroondara,5,2,0,621.44,54.66,865587.3641
Burwood,2,u,VB,BigginScott,Western Metro,3601,19.33,Yarra,3,1,2,282.05,336.41,901661.1805
Richmond,3,h,SP,JellisCraig,Southern Metro,3657,13.62,Monash,2,1,2,343.22,227.25,735709.1834
Burwood,2,h,VB,RayWhite,Northern Metro,7080,16.23,Monash,1,2,0,554.18,184.27,668717.7825
Carlton,1,h,SP,BarryPlant,Western Metro,8325,6.79,Yarra,5,2,2,978.01,345.92,1160630.325
Clayton,3,u,VB,BarryPlant,Southern Metro,3159,22.77,Yarra,1,3,1,654.64,425.6,1131386.512
Clayton,4,u,S,BarryPlant,Southern Metro,4830,22.65,Yarra,2,3,2,942.53,301.28,1252023.953
Richmond,4,t,PI,JellisCraig,Southern Metro,9313,5.22,Boroondara,5,1,3,963.44,63.99,1101034.924
Docklands,5,h,PI,BigginScott,Western Metro,5368,26.46,Melbourne,5,3,2,287.3,257.63,1196482.294
Richmond,2,t,S,BarryPlant,Western Metro,2317,8.81,Boroondara,1,1,3,380.07,258.24,774112.2949
Docklands,3,h,SP,BigginScott,Western Metro,5493,29.49,Boroondara,4,1,3,792.99,294.71,1006606.253
Clayton,5,u,SP,BarryPlant,Western Metro,2230,12.1,Melbourne,1,3,2,880.09,351.93,1339828.877
Richmond,3,u,SP,BarryPlant,Western Metro,2133,6.16,Yarra,1,3,0,567.3,58.69,756240.2844
Carlton,2,u,S,JellisCraig,Western Metro,8607,11.2,Yarra,4,3,1,993.9,275.91,1095356.481
Burwood,4,h,SP,RayWhite,Western Metro,2301,13.77,Melbourne,2,2,1,110.41,314.74,835331.1912
Docklands,1,u,S,JellisCraig,Western Metro,2910,3.01,Melbourne,2,1,2,369.63,204.51,583790.6298
Burwood,4,h,VB,BarryPlant,Western Metro,9082,17.77,Boroondara,5,1,0,660.85,350.76,1199205.157
Burwood,5,t,VB,BarryPlant,Southern Metro,9107,18.33,Monash,3,1,0,522.36,152.68,902633.0494
Richmond,1,h,S,RayWhite,Western Metro,8970,22.43,Melbourne,3,3,1,204.94,192.82,709399.1094
Burwood,5,t,PI,BigginScott,Northern Metro,2916,1.85,Boroondara,5,3,0,431.01,483.24,1539430.188
Carlton,2,h,VB,BigginScott,Southern Metro,7996,16.7,Monash,3,3,2,122.9,206.63,705264.403
Burwood,1,t,SP,BarryPlant,Western Metro,3757,2.53,Yarra,1,3,2,678.47,205.93,661765.7448
Richmond,5,u,S,BigginScott,Northern Metro,7464,21.33,Yarra,1,3,0,903.47,318.06,1215636.117
Carlton,2,t,SP,BarryPlant,Western Metro,1178,2.62,Boroondara,4,2,2,896.39,486.94,1241848.571
Clayton,4,u,SP,RayWhite,Northern Metro,7362,27.44,Boroondara,4,3,3,729.59,492.39,1447251.254
Burwood,2,u,PI,RayWhite,Northern Metro,9683,21.36,Melbourne,5,1,1,519.19,310.85,1019952.657
Richmond,3,t,SP,BarryPlant,Northern Metro,1060,15.71,Yarra,5,3,2,560.83,50.49,922708.1838
Clayton,2,h,PI,RayWhite,Northern Metro,7681,13.8,Boroondara,5,1,0,223.23,455.3,990819.229
Clayton,2,h,VB,JellisCraig,Southern Metro,3895,4.79,Yarra,1,3,1,406.92,306.61,816846.1228
Docklands,3,h,S,JellisCraig,Southern Metro,1585,9.44,Yarra,3,3,2,268.96,214.7,903447.9416
Carlton,5,h,SP,RayWhite,Northern Metro,6823,26.2,Melbourne,5,1,1,839.08,423.14,1418289.073
Burwood,5,h,S,BarryPlant,Western Metro,1534,27.23,Monash,5,1,0,923.28,229.92,1356133.41
Richmond,2,u,SP,BarryPlant,Northern Metro,4462,1.02,Melbourne,1,1,3,583.23,65.32,584271.8742
Docklands,3,h,S,RayWhite,Southern Metro,5011,18.23,Boroondara,1,1,3,754.99,419.48,1114111.758
Carlton,3,u,SP,BigginScott,Western Metro,4398,21.86,Melbourne,1,2,2,209.32,295.64,817755.9793
Docklands,4,u,SP,JellisCraig,Southern Metro,3155,18.94,Melbourne,3,1,3,647.68,202.16,885074.5335
Carlton,5,u,SP,BigginScott,Southern Metro,6966,3.37,Yarra,5,3,2,732.51,162.9,1224299.408
Carlton,1,t,SP,BarryPlant,Western Metro,8329,7.31,Melbourne,2,3,1,507.49,317.21,863402.5359
Burwood,5,t,SP,BarryPlant,Northern Metro,7957,8.26,Boroondara,2,2,2,318.95,143.62,935475.7272
Carlton,5,u,SP,BigginScott,Northern Metro,6325,25.12,Monash,5,1,2,889.64,195.73,1223133.43
Docklands,4,t,SP,RayWhite,Northern Metro,9518,14.43,Melbourne,5,3,2,768.62,336.44,1403043.57
Carlton,1,h,SP,BigginScott,Northern Metro,5703,15.12,Melbourne,5,2,3,909.87,446.7,1156661.76
Burwood,4,h,SP,BigginScott,Western Metro,3706,28.11,Monash,5,3,2,836.56,289.8,1333207.624
Burwood,1,u,S,JellisCraig,Western Metro,1001,19.48,Boroondara,3,2,0,991.34,391.6,1105400.152
Docklands,2,h,PI,JellisCraig,Western Metro,9316,27.06,Boroondara,2,2,2,272.96,393.38,846690.0001
Clayton,1,u,SP,BigginScott,Southern Metro,2104,14.24,Melbourne,4,1,1,178.07,348.96,818410.5716
Clayton,4,u,PI,BigginScott,Western Metro,2861,5.33,Yarra,2,2,0,403.3,160.63,875065.373
Carlton,5,h,SP,BarryPlant,Northern Metro,6269,27.97,Melbourne,2,3,1,216.1,440.05,1143028.767
Richmond,1,t,SP,JellisCraig,Southern Metro,7943,14.3,Monash,1,3,1,570.82,246.32,764459.9281
Carlton,1,h,S,JellisCraig,Northern Metro,9320,6.27,Monash,5,1,1,669.73,69.89,688749.6996
Docklands,3,h,VB,BarryPlant,Northern Metro,1437,9.77,Monash,5,1,0,620.46,160.08,887399.8653
Docklands,5,u,VB,RayWhite,Western Metro,5846,2.47,Melbourne,5,2,0,333.32,394.5,1188151.539
Docklands,2,u,S,JellisCraig,Western Metro,4129,14.58,Melbourne,1,1,3,917.94,81.11,673339.0132
Docklands,4,u,PI,JellisCraig,Northern Metro,9081,25.74,Boroondara,3,3,0,119.06,116.31,794213.2066
Docklands,2,u,VB,RayWhite,Northern Metro,1901,28.07,Yarra,3,3,2,413.21,362.4,931447.9357
Burwood,5,t,S,JellisCraig,Southern Metro,6398,28.05,Melbourne,4,1,1,747.09,451.67,1290539.418
Clayton,1,t,S,JellisCraig,Western Metro,7678,4.63,Boroondara,3,1,3,790.24,335.18,875902.2303
Docklands,1,t,VB,RayWhite,Southern Metro,6529,12.08,Melbourne,3,1,0,474.51,150.03,529968.9217
Richmond,5,u,PI,RayWhite,Southern Metro,7604,1.82,Boroondara,5,2,1,115.22,74.04,914919.5186
Richmond,1,u,S,BigginScott,Southern Metro,4918,25.8,Boroondara,2,2,0,656.24,326.81,869257.5263
Richmond,1,u,SP,BarryPlant,Northern Metro,2067,11.4,Yarra,3,3,3,156.79,71.33,572839.8427
Richmond,1,t,PI,BarryPlant,Southern Metro,1026,19.3,Melbourne,3,2,0,197.07,325.72,773155.4784
Burwood,4,u,PI,RayWhite,Southern Metro,7937,21.73,Boroondara,1,2,0,685.23,151.51,894703.423
Richmond,4,h,VB,RayWhite,Northern Metro,8264,13.47,Monash,4,2,1,381.24,457.1,1227207.353
Docklands,3,h,VB,JellisCraig,Western Metro,8118,9.89,Monash,1,2,2,413.23,263.79,858161.1872
Carlton,2,u,SP,BigginScott,Western Metro,1547,28.9,Monash,5,3,0,538.13,150.77,891041.7421
Richmond,5,h,S,BigginScott,Southern Metro,9758,28.97,Yarra,2,1,3,980.72,433.92,1291994.512
Burwood,5,h,VB,RayWhite,Northern Metro,9895,9.39,Boroondara,4,3,0,968.9,164.32,1197652.027
Burwood,5,t,VB,JellisCraig,Western Metro,6338,14.91,Yarra,1,2,0,474.63,187.97,916666.408
Richmond,3,u,PI,JellisCraig,Southern Metro,4140,29.21,Melbourne,3,1,2,338.95,425.43,1011048.523
Carlton,4,u,VB,BarryPlant,Southern Metro,8996,1.14,Melbourne,3,1,1,372.33,188.96,887517.6507
Richmond,3,t,VB,BarryPlant,Northern Metro,2590,12.97,Boroondara,4,1,3,341.9,234.57,802790.6463
Burwood,5,h,VB,JellisCraig,Southern Metro,8776,3.91,Monash,3,3,1,579.02,206.45,1047827.422
Clayton,2,h,VB,BarryPlant,Western Metro,5943,15.77,Boroondara,1,1,1,646.17,102.38,509819.7573
Docklands,1,u,PI,RayWhite,Northern Metro,9997,1.72,Boroondara,1,3,1,539.9,67.5,567802.6591
Burwood,4,h,SP,JellisCraig,Western Metro,8798,12.8,Boroondara,3,3,0,467.19,376.04,1097291.845
Richmond,4,t,SP,BarryPlant,Western Metro,4791,7.4,Yarra,3,2,2,290.16,340.31,1073364.458
Docklands,3,t,S,BigginScott,Western Metro,2357,16.47,Melbourne,5,2,0,534.26,177.06,984988.4961
Richmond,4,u,VB,JellisCraig,Southern Metro,9092,29.88,Boroondara,2,1,3,406.99,183.02,920929.4887
Richmond,5,t,PI,JellisCraig,Southern Metro,4225,24.22,Boroondara,4,1,2,587.44,475.25,1421777.378
Clayton,5,t,S,BigginScott,Western Metro,3460,25.52,Boroondara,1,2,1,707.67,494.45,1261980.017
Docklands,3,u,S,RayWhite,Western Metro,9737,19.42,Yarra,4,3,2,669.98,263.05,1040562.1
Docklands,5,t,SP,BigginScott,Northern Metro,3728,2.21,Yarra,5,3,3,516.24,411.1,1424374.9
Clayton,2,t,PI,JellisCraig,Northern Metro,7726,7,Yarra,1,2,0,600.45,381.51,940486.7873
Burwood,3,t,PI,RayWhite,Southern Metro,8481,27.83,Boroondara,5,3,0,356.37,183.79,941216.4966
Richmond,2,h,PI,BarryPlant,Southern Metro,7430,11.62,Monash,5,2,1,121.82,76.35,661679.9705
Carlton,1,u,SP,BarryPlant,Northern Metro,4114,4.01,Monash,3,2,0,662.52,114.15,635047.9628
Richmond,2,u,SP,BarryPlant,Western Metro,1616,21.37,Monash,4,1,0,327.31,427.23,1024483.138
Richmond,1,u,SP,JellisCraig,Southern Metro,4644,9.68,Melbourne,4,1,3,702.06,379.05,938944.9618
Burwood,1,h,SP,BigginScott,Western Metro,7413,8.8,Boroondara,3,2,2,772.31,348.95,973981.277
Richmond,2,h,SP,RayWhite,Northern Metro,2203,29.94,Monash,4,1,0,924.33,108.79,861500.9281
Clayton,3,u,VB,BarryPlant,Southern Metro,3565,25.89,Monash,3,2,3,962.31,337.97,1288740.474
Clayton,5,h,VB,RayWhite,Southern Metro,4174,12.83,Monash,1,3,3,109.47,397.47,1085570.895
Docklands,5,u,PI,JellisCraig,Northern Metro,4081,29.43,Boroondara,5,3,1,991.34,437.27,1632712.293
Carlton,1,h,S,BarryPlant,Southern Metro,3630,19.85,Monash,5,3,3,714.72,55.95,808752.7503
Richmond,1,t,PI,JellisCraig,Northern Metro,4161,22.52,Monash,4,3,1,679.17,358.01,1110618.993
Richmond,3,t,S,BigginScott,Southern Metro,5321,1.91,Boroondara,2,2,0,113.69,58.59,639170.3526
Burwood,4,u,SP,JellisCraig,Northern Metro,9861,4.53,Melbourne,5,3,1,875.11,368.09,1356143.255
Clayton,2,h,S,JellisCraig,Southern Metro,7269,19.36,Yarra,3,3,3,230.94,336.03,987985.1754
Carlton,1,h,PI,BigginScott,Western Metro,8099,27.07,Monash,2,3,2,853.6,116.76,828504.3264
Docklands,5,t,PI,RayWhite,Western Metro,8376,19.09,Yarra,2,3,2,114.01,394.75,1134239.631
Clayton,3,t,S,BigginScott,Western Metro,5078,4.89,Melbourne,5,2,0,681.37,80.76,922556.722
Docklands,2,h,VB,BigginScott,Southern Metro,6801,4.36,Melbourne,5,3,0,491.32,421.88,1189276.863
Burwood,3,h,SP,JellisCraig,Southern Metro,5151,25.48,Monash,5,1,2,280.69,167.87,942559.5068
Burwood,2,h,SP,RayWhite,Western Metro,9911,5.04,Boroondara,3,1,1,196.81,359.98,710472.914
Richmond,2,h,PI,BarryPlant,Western Metro,3600,16.09,Melbourne,2,1,0,496.11,465.66,931697.3249
Carlton,1,h,VB,BigginScott,Northern Metro,7175,2.08,Yarra,4,1,3,210.98,202.92,603701.3299
Docklands,3,h,S,RayWhite,Northern Metro,1666,3.34,Yarra,3,1,0,537.8,276.3,888329.9039
Clayton,3,u,SP,BigginScott,Northern Metro,1283,20.5,Yarra,1,1,1,662.7,258.4,788067.0999
Burwood,5,h,VB,BigginScott,Western Metro,6840,20.99,Yarra,5,2,0,844.65,120.93,1131579.139
Richmond,5,t,SP,BigginScott,Western Metro,4565,10.9,Melbourne,2,1,3,710.78,315.64,1105166.633
Richmond,1,u,VB,BigginScott,Western Metro,5593,7.25,Monash,3,3,3,158.68,384.35,909722.3727
Docklands,1,h,VB,JellisCraig,Northern Metro,2465,24.6,Monash,1,1,3,376.69,462.59,879291.7085
Burwood,4,t,PI,RayWhite,Southern Metro,9321,7.3,Yarra,3,2,1,359.18,432.86,1131977.261
Carlton,5,u,SP,RayWhite,Western Metro,5734,16.72,Monash,3,1,1,923.53,279.51,1258100.11
Burwood,2,t,S,RayWhite,Southern Metro,7257,29.08,Yarra,4,3,3,881,373.56,1290057.84
Docklands,3,h,PI,BigginScott,Southern Metro,8366,5.29,Yarra,4,3,3,433.13,410.35,1321992.451
Docklands,1,h,PI,JellisCraig,Southern Metro,4672,28.29,Boroondara,3,2,1,164.04,272.07,711849.8506
Burwood,3,h,S,BigginScott,Northern Metro,8382,6.3,Melbourne,1,2,1,904.7,101.94,800267.7979
Docklands,3,h,PI,BigginScott,Southern Metro,7587,17.46,Melbourne,2,2,1,899.37,247.07,917619.1402
Burwood,4,u,VB,RayWhite,Western Metro,1992,11.93,Yarra,2,2,2,869.27,429.12,1230816.644
Clayton,5,u,VB,BigginScott,Northern Metro,7858,28.98,Melbourne,5,1,1,860.57,318.49,1296265.851
Burwood,1,t,SP,BarryPlant,Western Metro,3121,8.93,Monash,5,1,3,532.23,376.01,981203.6484
Burwood,3,h,SP,BigginScott,Western Metro,3223,12.59,Yarra,2,3,2,259.69,133.37,888713.1201
Docklands,1,t,S,BarryPlant,Northern Metro,5522,29.5,Boroondara,3,2,1,529.74,483.95,1002523.161
Docklands,2,u,SP,BigginScott,Western Metro,4188,16.56,Monash,3,2,3,545.14,231.84,796964.3355
Richmond,4,h,VB,JellisCraig,Western Metro,4237,15.58,Boroondara,4,1,0,540.94,344.14,1119650.518
Richmond,2,h,S,JellisCraig,Northern Metro,5136,8.48,Boroondara,4,2,2,584.9,58.49,784284.912
Clayton,1,u,S,RayWhite,Western Metro,1343,21.34,Melbourne,5,3,3,331.89,107.29,753910.5148
Richmond,1,u,SP,BigginScott,Southern Metro,5704,1.42,Melbourne,2,3,0,429.62,401.92,997189.5229
Burwood,5,u,VB,BarryPlant,Western Metro,5823,2.44,Yarra,3,2,3,490.77,485.59,1267989.947
Docklands,3,u,S,BarryPlant,Southern Metro,5920,18.38,Melbourne,2,3,1,218.01,194.02,861895.855
Richmond,3,u,VB,BigginScott,Western Metro,4201,10.91,Boroondara,1,3,1,509.83,66.73,695124.1648
Richmond,2,h,VB,BarryPlant,Northern Metro,6471,28.65,Boroondara,2,1,0,829.42,212.39,733695.1111
Clayton,4,u,VB,JellisCraig,Northern Metro,1888,27.19,Monash,1,3,1,845.25,57.86,1001454.914
Clayton,3,h,SP,BarryPlant,Western Metro,8127,21.7,Boroondara,4,2,3,470.41,136.57,934527.8365
Burwood,5,h,PI,RayWhite,Northern Metro,4720,24.73,Yarra,4,2,0,566.93,388.61,1263767.066
Docklands,2,u,PI,JellisCraig,Western Metro,3883,20.35,Yarra,5,3,3,130.29,471.69,1144838.816
Clayton,2,u,S,JellisCraig,Northern Metro,5212,4.64,Melbourne,2,2,3,706.99,89.35,755217.9418
Richmond,5,h,VB,JellisCraig,Southern Metro,7961,23.2,Melbourne,2,1,3,464.15,301.06,1037206.824
Docklands,4,u,SP,BigginScott,Western Metro,3415,7.1,Melbourne,1,3,1,500.93,164.25,949509.4262
Docklands,5,u,VB,BigginScott,Southern Metro,4001,10.38,Yarra,4,3,1,886.31,112.58,1182857.27
Richmond,4,u,VB,JellisCraig,Southern Metro,2738,24.76,Boroondara,1,3,3,515.65,148.54,964113.2226
Clayton,5,t,SP,BigginScott,Western Metro,2364,16.56,Melbourne,4,2,2,119.07,309.99,1116107.317
Richmond,5,h,PI,BarryPlant,Southern Metro,3708,25.94,Monash,1,2,3,304.74,79.31,844223.75
Docklands,1,t,VB,BigginScott,Western Metro,1924,7.18,Melbourne,4,3,3,528.06,245.4,991093.4876
Carlton,2,u,VB,BigginScott,Southern Metro,1151,18.63,Yarra,1,2,0,481.96,110.85,669484.4916
Carlton,5,t,PI,JellisCraig,Western Metro,9777,3.43,Melbourne,4,2,3,874.33,172.7,1239546.334
Burwood,5,u,SP,RayWhite,Western Metro,9044,19.65,Boroondara,1,3,1,587.92,135.84,918888.6457
Richmond,3,t,S,RayWhite,Northern Metro,1912,23.11,Melbourne,2,3,0,720.67,447.34,1174911.887
